attendance_id,student_id,date,status
333,1082,2024-03-15,Present
334,1082,2024-03-18,Absent
335,1082,2024-03-19,Present
336,1082,2024-03-20,Present
337,1082,2024-03-21,Absent
338,1082,2024-03-22,Present
339,1082,2024-03-25,Present
340,1082,2024-03-26,Present
341,1082,2024-03-27,Present
342,1082,2024-03-28,Absent
343,1082,2024-03-29,Present
344,1082,2024-04-01,Absent
345,1082,2024-04-02,Present
346,1082,2024-04-03,Present
347,1082,2024-04-04,Present
348,1082,2024-04-05,Present
349,1082,2024-04-08,Absent
350,1082,2024-04-09,Absent
351,1082,2024-04-10,Present
352,1082,2024-04-11,Present
353,1082,2024-04-12,Present
354,1082,2024-04-15,Present
355,1082,2024-04-16,Present
356,1082,2024-04-17,Present
357,1082,2024-04-18,Absent
358,1082,2024-04-19,Present
359,1082,2024-04-22,Present
360,1082,2024-04-23,Absent
361,1082,2024-04-24,Absent
362,1082,2024-04-25,Present
363,1082,2024-04-26,Present
364,1082,2024-04-29,Absent
365,1082,2024-04-30,Present
366,1082,2024-05-01,Present
367,1082,2024-05-02,Absent
368,1082,2024-05-03,Present
369,1082,2024-05-06,Present
370,1082,2024-05-07,Present
371,1082,2024-05-08,Absent
372,1082,2024-05-09,Present
373,1082,2024-05-10,Absent
374,1082,2024-05-13,Present
375,1082,2024-05-14,Present
376,1082,2024-05-15,Present
377,1082,2024-05-16,Absent
378,1082,2024-05-17,Present
379,1082,2024-05-20,Absent
380,1082,2024-05-21,Absent
381,1082,2024-05-22,Present
382,1082,2024-05-23,Absent
383,1082,2024-05-24,Present
384,1082,2024-05-27,Present
385,1082,2024-05-28,Absent
386,1082,2024-05-29,Present
387,1082,2024-05-30,Present
388,1082,2024-05-31,Present
389,1082,2024-06-03,Present
390,1082,2024-06-04,Present
391,1038,2024-03-06,Present
392,1038,2024-03-07,Present
393,1038,2024-03-08,Present
394,1038,2024-03-11,Present
395,1038,2024-03-12,Present
396,1038,2024-03-13,Present
397,1038,2024-03-14,Present
398,1038,2024-03-15,Absent
399,1038,2024-03-18,Present
400,1038,2024-03-19,Present
401,1038,2024-03-20,Present
402,1038,2024-03-21,Present
403,1038,2024-03-22,Present
404,1038,2024-03-25,Present
405,1038,2024-03-26,Present
406,1038,2024-03-27,Present
407,1038,2024-03-28,Absent
408,1038,2024-03-29,Present
409,1038,2024-04-01,Absent
410,1038,2024-04-02,Present
411,1038,2024-04-03,Present
412,1038,2024-04-04,Absent
413,1038,2024-04-05,Present
414,1038,2024-04-08,Present
415,1038,2024-04-09,Absent
416,1038,2024-04-10,Present
417,1038,2024-04-11,Present
418,1038,2024-04-12,Absent
419,1038,2024-04-15,Present
420,1038,2024-04-16,Present
421,1038,2024-04-17,Present
422,1038,2024-04-18,Present
423,1038,2024-04-19,Absent
424,1038,2024-04-22,Present
425,1038,2024-04-23,Absent
426,1038,2024-04-24,Present
427,1038,2024-04-25,Present
428,1038,2024-04-26,Absent
429,1038,2024-04-29,Present
430,1038,2024-04-30,Present
431,1038,2024-05-01,Absent
432,1038,2024-05-02,Present
433,1038,2024-05-03,Present
434,1038,2024-05-06,Present
435,1038,2024-05-07,Absent
436,1038,2024-05-08,Present
437,1038,2024-05-09,Present
438,1038,2024-05-10,Absent
439,1038,2024-05-13,Present
440,1038,2024-05-14,Present
441,1038,2024-05-15,Absent
442,1038,2024-05-16,Present
443,1038,2024-05-17,Present
444,1038,2024-05-20,Present
445,1038,2024-05-21,Absent
446,1038,2024-05-22,Absent
447,1038,2024-05-23,Present
448,1038,2024-05-24,Present
449,1038,2024-05-27,Absent
450,1038,2024-05-28,Present
451,1038,2024-05-29,Absent
452,1038,2024-05-30,Absent
453,1038,2024-05-31,Absent
454,1038,2024-06-03,Present
455,1038,2024-06-04,Absent
456,1089,2024-03-06,Present
457,1089,2024-03-07,Present
458,1089,2024-03-08,Present
459,1089,2024-03-11,Absent
460,1089,2024-03-12,Present
461,1089,2024-03-13,Absent
462,1089,2024-03-14,Present
463,1089,2024-03-15,Present
464,1089,2024-03-18,Absent
465,1089,2024-03-19,Present
466,1089,2024-03-20,Present
467,1089,2024-03-21,Absent
468,1089,2024-03-22,Present
469,1089,2024-03-25,Present
470,1089,2024-03-26,Present
471,1089,2024-03-27,Present
472,1089,2024-03-28,Present
473,1089,2024-03-29,Absent
474,1089,2024-04-01,Absent
475,1089,2024-04-02,Present
476,1089,2024-04-03,Present
477,1089,2024-04-04,Present
478,1089,2024-04-05,Present
479,1089,2024-04-08,Present
480,1089,2024-04-09,Present
481,1089,2024-04-10,Absent
482,1089,2024-04-11,Present
483,1089,2024-04-12,Present
484,1089,2024-04-15,Present
485,1089,2024-04-16,Present
486,1089,2024-04-17,Present
487,1089,2024-04-18,Present
488,1089,2024-04-19,Present
489,1089,2024-04-22,Absent
490,1089,2024-04-23,Present
491,1089,2024-04-24,Present
492,1089,2024-04-25,Present
493,1089,2024-04-26,Present
494,1089,2024-04-29,Present
495,1089,2024-04-30,Present
496,1089,2024-05-01,Present
497,1089,2024-05-02,Present
498,1089,2024-05-03,Present
499,1089,2024-05-06,Present
500,1089,2024-05-07,Present
501,1089,2024-05-08,Present
502,1089,2024-05-09,Present
503,1089,2024-05-10,Present
504,1089,2024-05-13,Present
505,1089,2024-05-14,Present
506,1089,2024-05-15,Present
507,1089,2024-05-16,Present
508,1089,2024-05-17,Absent
509,1089,2024-05-20,Absent
510,1089,2024-05-21,Present
511,1089,2024-05-22,Present
512,1089,2024-05-23,Present
513,1089,2024-05-24,Present
514,1089,2024-05-27,Present
515,1089,2024-05-28,Present
516,1089,2024-05-29,Absent
517,1089,2024-05-30,Present
518,1089,2024-05-31,Absent
519,1089,2024-06-03,Present
520,1089,2024-06-04,Present
521,1072,2024-03-06,Present
522,1072,2024-03-07,Present
523,1072,2024-03-08,Present
524,1072,2024-03-11,Present
525,1072,2024-03-12,Absent
526,1072,2024-03-13,Present
527,1072,2024-03-14,Present
528,1072,2024-03-15,Present
529,1072,2024-03-18,Present
530,1072,2024-03-19,Present
531,1072,2024-03-20,Present
532,1072,2024-03-21,Present
533,1072,2024-03-22,Present
534,1072,2024-03-25,Present
535,1072,2024-03-26,Present
536,1072,2024-03-27,Present
537,1072,2024-03-28,Present
538,1072,2024-03-29,Present
539,1072,2024-04-01,Present
540,1072,2024-04-02,Present
541,1072,2024-04-03,Present
542,1072,2024-04-04,Present
543,1072,2024-04-05,Present
544,1072,2024-04-08,Present
545,1072,2024-04-09,Present
546,1072,2024-04-10,Present
547,1072,2024-04-11,Present
548,1072,2024-04-12,Present
549,1072,2024-04-15,Present
550,1072,2024-04-16,Present
551,1072,2024-04-17,Absent
552,1072,2024-04-18,Present
553,1072,2024-04-19,Absent
554,1072,2024-04-22,Present
555,1072,2024-04-23,Absent
556,1072,2024-04-24,Present
557,1072,2024-04-25,Absent
558,1072,2024-04-26,Present
559,1072,2024-04-29,Present
560,1072,2024-04-30,Present
561,1072,2024-05-01,Present
562,1072,2024-05-02,Present
563,1072,2024-05-03,Absent
564,1072,2024-05-06,Present
565,1072,2024-05-07,Present
566,1072,2024-05-08,Present
567,1072,2024-05-09,Absent
568,1072,2024-05-10,Present
569,1072,2024-05-13,Present
570,1072,2024-05-14,Absent
571,1072,2024-05-15,Present
572,1072,2024-05-16,Present
573,1072,2024-05-17,Present
574,1072,2024-05-20,Present
575,1072,2024-05-21,Present
576,1072,2024-05-22,Absent
577,1072,2024-05-23,Present
578,1072,2024-05-24,Present
579,1072,2024-05-27,Absent
580,1072,2024-05-28,Present
581,1072,2024-05-29,Present
582,1072,2024-05-30,Present
583,1072,2024-05-31,Present
584,1072,2024-06-03,Absent
585,1072,2024-06-04,Present
586,1318,2024-03-06,Absent
587,1318,2024-03-07,Present
588,1318,2024-03-08,Present
589,1318,2024-03-11,Present
590,1318,2024-03-12,Present
591,1318,2024-03-13,Present
592,1318,2024-03-14,Present
593,1318,2024-03-15,Absent
594,1318,2024-03-18,Present
595,1318,2024-03-19,Present
596,1318,2024-03-20,Absent
597,1318,2024-03-21,Present
598,1318,2024-03-22,Absent
599,1318,2024-03-25,Present
600,1318,2024-03-26,Present
601,1318,2024-03-27,Present
602,1318,2024-03-28,Absent
603,1318,2024-03-29,Present
604,1318,2024-04-01,Present
605,1318,2024-04-02,Absent
606,1318,2024-04-03,Present
607,1318,2024-04-04,Present
608,1318,2024-04-05,Present
609,1318,2024-04-08,Present
610,1318,2024-04-09,Present
611,1318,2024-04-10,Absent
612,1318,2024-04-11,Present
613,1318,2024-04-12,Absent
614,1318,2024-04-15,Present
615,1318,2024-04-16,Present
616,1318,2024-04-17,Present
617,1318,2024-04-18,Absent
618,1318,2024-04-19,Present
619,1318,2024-04-22,Present
620,1318,2024-04-23,Present
621,1318,2024-04-24,Present
622,1318,2024-04-25,Absent
623,1318,2024-04-26,Present
624,1318,2024-04-29,Present
625,1318,2024-04-30,Present
626,1318,2024-05-01,Present
627,1318,2024-05-02,Present
628,1318,2024-05-03,Absent
629,1318,2024-05-06,Present
630,1318,2024-05-07,Absent
631,1318,2024-05-08,Absent
632,1318,2024-05-09,Present
633,1318,2024-05-10,Present
634,1318,2024-05-13,Present
635,1318,2024-05-14,Present
636,1318,2024-05-15,Present
637,1318,2024-05-16,Present
638,1318,2024-05-17,Present
639,1318,2024-05-20,Absent
640,1318,2024-05-21,Present
641,1318,2024-05-22,Absent
642,1318,2024-05-23,Present
643,1318,2024-05-24,Present
644,1318,2024-05-27,Present
645,1318,2024-05-28,Present
646,1318,2024-05-29,Present
647,1318,2024-05-30,Absent
648,1318,2024-05-31,Present
649,1318,2024-06-03,Present
650,1318,2024-06-04,Present
651,1446,2024-03-06,Present
652,1446,2024-03-07,Present
653,1446,2024-03-08,Present
654,1446,2024-03-11,Absent
655,1446,2024-03-12,Present
656,1446,2024-03-13,Present
657,1446,2024-03-14,Present
658,1446,2024-03-15,Absent
659,1446,2024-03-18,Absent
660,1446,2024-03-19,Absent
661,1446,2024-03-20,Absent
662,1446,2024-03-21,Present
663,1446,2024-03-22,Present
664,1446,2024-03-25,Present
665,1446,2024-03-26,Present
666,1446,2024-03-27,Present
667,1446,2024-03-28,Present
668,1446,2024-03-29,Present
669,1446,2024-04-01,Absent
670,1446,2024-04-02,Absent
671,1446,2024-04-03,Present
672,1446,2024-04-04,Present
673,1446,2024-04-05,Present
674,1446,2024-04-08,Present
675,1446,2024-04-09,Present
676,1446,2024-04-10,Present
677,1446,2024-04-11,Present
678,1446,2024-04-12,Present
679,1446,2024-04-15,Absent
680,1446,2024-04-16,Present
681,1446,2024-04-17,Present
682,1446,2024-04-18,Present
683,1446,2024-04-19,Present
684,1446,2024-04-22,Present
685,1446,2024-04-23,Present
686,1446,2024-04-24,Present
687,1446,2024-04-25,Present
688,1446,2024-04-26,Present
689,1446,2024-04-29,Present
690,1446,2024-04-30,Absent
691,1446,2024-05-01,Present
692,1446,2024-05-02,Present
693,1446,2024-05-03,Absent
694,1446,2024-05-06,Present
695,1446,2024-05-07,Present
696,1446,2024-05-08,Present
697,1446,2024-05-09,Present
698,1446,2024-05-10,Present
699,1446,2024-05-13,Present
700,1446,2024-05-14,Present
701,1446,2024-05-15,Present
702,1446,2024-05-16,Present
703,1446,2024-05-17,Present
704,1446,2024-05-20,Present
705,1446,2024-05-21,Present
706,1446,2024-05-22,Present
707,1446,2024-05-23,Present
708,1446,2024-05-24,Present
709,1446,2024-05-27,Absent
710,1446,2024-05-28,Present
711,1446,2024-05-29,Present
712,1446,2024-05-30,Absent
713,1446,2024-05-31,Present
714,1446,2024-06-03,Present
715,1446,2024-06-04,Present
716,1391,2024-03-06,Present
717,1391,2024-03-07,Absent
718,1391,2024-03-08,Present
719,1391,2024-03-11,Present
720,1391,2024-03-12,Present
721,1391,2024-03-13,Present
722,1391,2024-03-14,Present
723,1391,2024-03-15,Present
724,1391,2024-03-18,Present
725,1391,2024-03-19,Present
726,1391,2024-03-20,Present
727,1391,2024-03-21,Present
728,1391,2024-03-22,Present
729,1391,2024-03-25,Present
730,1391,2024-03-26,Present
731,1391,2024-03-27,Present
732,1391,2024-03-28,Present
733,1391,2024-03-29,Present
734,1391,2024-04-01,Absent
735,1391,2024-04-02,Present
736,1391,2024-04-03,Absent
737,1391,2024-04-04,Present
738,1391,2024-04-05,Present
739,1391,2024-04-08,Absent
740,1391,2024-04-09,Present
741,1391,2024-04-10,Present
742,1391,2024-04-11,Absent
743,1391,2024-04-12,Present
744,1391,2024-04-15,Present
745,1391,2024-04-16,Present
746,1391,2024-04-17,Present
747,1391,2024-04-18,Absent
748,1391,2024-04-19,Present
749,1391,2024-04-22,Present
750,1391,2024-04-23,Present
751,1391,2024-04-24,Present
752,1391,2024-04-25,Present
753,1391,2024-04-26,Present
754,1391,2024-04-29,Present
755,1391,2024-04-30,Present
756,1391,2024-05-01,Present
757,1391,2024-05-02,Present
758,1391,2024-05-03,Absent
759,1391,2024-05-06,Absent
760,1391,2024-05-07,Absent
761,1391,2024-05-08,Absent
762,1391,2024-05-09,Present
763,1391,2024-05-10,Present
764,1391,2024-05-13,Absent
765,1391,2024-05-14,Present
766,1391,2024-05-15,Present
767,1391,2024-05-16,Present
768,1391,2024-05-17,Present
769,1391,2024-05-20,Absent
770,1391,2024-05-21,Present
771,1391,2024-05-22,Present
772,1391,2024-05-23,Present
773,1391,2024-05-24,Present
774,1391,2024-05-27,Present
775,1391,2024-05-28,Present
776,1391,2024-05-29,Present
777,1391,2024-05-30,Present
778,1391,2024-05-31,Present
779,1391,2024-06-03,Present
780,1391,2024-06-04,Present
781,1060,2024-03-06,Present
782,1060,2024-03-07,Present
783,1060,2024-03-08,Present
784,1060,2024-03-11,Present
785,1060,2024-03-12,Present
786,1060,2024-03-13,Present
787,1060,2024-03-14,Absent
788,1060,2024-03-15,Absent
789,1060,2024-03-18,Present
790,1060,2024-03-19,Present
791,1060,2024-03-20,Present
792,1060,2024-03-21,Present
793,1060,2024-03-22,Absent
794,1060,2024-03-25,Present
795,1060,2024-03-26,Present
796,1060,2024-03-27,Absent
797,1060,2024-03-28,Present
798,1060,2024-03-29,Present
799,1060,2024-04-01,Present
800,1060,2024-04-02,Present
801,1060,2024-04-03,Present
802,1060,2024-04-04,Present
803,1060,2024-04-05,Present
804,1060,2024-04-08,Present
805,1060,2024-04-09,Absent
806,1060,2024-04-10,Present
807,1060,2024-04-11,Present
808,1060,2024-04-12,Present
809,1060,2024-04-15,Present
810,1060,2024-04-16,Present
811,1060,2024-04-17,Present
812,1060,2024-04-18,Present
813,1060,2024-04-19,Present
814,1060,2024-04-22,Present
815,1060,2024-04-23,Absent
816,1060,2024-04-24,Absent
817,1060,2024-04-25,Present
818,1060,2024-04-26,Present
819,1060,2024-04-29,Present
820,1060,2024-04-30,Absent
821,1060,2024-05-01,Present
822,1060,2024-05-02,Present
823,1060,2024-05-03,Present
824,1060,2024-05-06,Absent
825,1060,2024-05-07,Present
826,1060,2024-05-08,Present
827,1060,2024-05-09,Present
828,1060,2024-05-10,Absent
829,1060,2024-05-13,Present
830,1060,2024-05-14,Present
831,1060,2024-05-15,Present
832,1060,2024-05-16,Present
833,1060,2024-05-17,Present
834,1060,2024-05-20,Present
835,1060,2024-05-21,Absent
836,1060,2024-05-22,Present
837,1060,2024-05-23,Present
838,1060,2024-05-24,Present
839,1060,2024-05-27,Present
840,1060,2024-05-28,Present
841,1060,2024-05-29,Present
842,1060,2024-05-30,Present
843,1060,2024-05-31,Present
844,1060,2024-06-03,Present
845,1060,2024-06-04,Present
846,1568,2024-03-06,Absent
847,1568,2024-03-07,Present
848,1568,2024-03-08,Present
849,1568,2024-03-11,Present
850,1568,2024-03-12,Present
851,1568,2024-03-13,Absent
852,1568,2024-03-14,Absent
853,1568,2024-03-15,Present
854,1568,2024-03-18,Absent
855,1568,2024-03-19,Present
856,1568,2024-03-20,Present
857,1568,2024-03-21,Absent
858,1568,2024-03-22,Absent
859,1568,2024-03-25,Present
860,1568,2024-03-26,Present
861,1568,2024-03-27,Present
862,1568,2024-03-28,Present
863,1568,2024-03-29,Present
864,1568,2024-04-01,Present
865,1568,2024-04-02,Present
866,1568,2024-04-03,Present
867,1568,2024-04-04,Present
868,1568,2024-04-05,Absent
869,1568,2024-04-08,Present
870,1568,2024-04-09,Present
871,1568,2024-04-10,Present
872,1568,2024-04-11,Present
873,1568,2024-04-12,Present
874,1568,2024-04-15,Present
875,1568,2024-04-16,Present
876,1568,2024-04-17,Present
877,1568,2024-04-18,Absent
878,1568,2024-04-19,Present
879,1568,2024-04-22,Present
880,1568,2024-04-23,Present
881,1568,2024-04-24,Present
882,1568,2024-04-25,Present
883,1568,2024-04-26,Present
884,1568,2024-04-29,Present
885,1568,2024-04-30,Present
886,1568,2024-05-01,Present
887,1568,2024-05-02,Present
888,1568,2024-05-03,Present
889,1568,2024-05-06,Present
890,1568,2024-05-07,Present
891,1568,2024-05-08,Present
892,1568,2024-05-09,Absent
893,1568,2024-05-10,Present
894,1568,2024-05-13,Absent
895,1568,2024-05-14,Absent
896,1568,2024-05-15,Present
897,1568,2024-05-16,Present
898,1568,2024-05-17,Absent
899,1568,2024-05-20,Present
900,1568,2024-05-21,Present
901,1568,2024-05-22,Present
902,1568,2024-05-23,Present
903,1568,2024-05-24,Absent
904,1568,2024-05-27,Present
905,1568,2024-05-28,Present
906,1568,2024-05-29,Present
907,1568,2024-05-30,Absent
908,1568,2024-05-31,Present
909,1568,2024-06-03,Present
910,1568,2024-06-04,Present
911,1277,2024-03-06,Absent
912,1277,2024-03-07,Absent
913,1277,2024-03-08,Absent
914,1277,2024-03-11,Present
915,1277,2024-03-12,Present
916,1277,2024-03-13,Present
917,1277,2024-03-14,Present
918,1277,2024-03-15,Present
