grade_id,student_id,subject_id,first_test,second_test,exam,total_score,grade,academic_year,term,created_at
60,1082,10,1,2,38,41,D,2024,First Term,2024-10-08 16:49:58
61,1038,1,5,0,12,17,F,2024,First Term,2024-10-08 16:49:58
62,1038,2,15,13,59,87,A,2024,First Term,2024-10-08 16:49:58
63,1038,3,15,10,59,84,A,2024,First Term,2024-10-08 16:49:58
64,1038,4,4,0,13,17,F,2024,First Term,2024-10-08 16:49:58
65,1038,5,10,12,74,96,A,2024,First Term,2024-10-08 16:49:58
66,1038,6,3,0,27,30,F,2024,First Term,2024-10-08 16:49:58
67,1038,7,0,2,37,39,F,2024,First Term,2024-10-08 16:49:58
68,1038,8,10,11,59,80,A,2024,First Term,2024-10-08 16:49:58
69,1038,9,12,14,57,83,A,2024,First Term,2024-10-08 16:49:58
70,1038,10,2,5,9,16,F,2024,First Term,2024-10-08 16:49:58
71,1089,1,2,4,9,15,F,2024,First Term,2024-10-08 16:49:58
72,1089,2,3,0,22,25,F,2024,First Term,2024-10-08 16:49:58
73,1089,3,0,2,36,38,F,2024,First Term,2024-10-08 16:49:58
74,1089,4,13,10,53,76,A,2024,First Term,2024-10-08 16:49:58
75,1089,5,4,1,6,11,F,2024,First Term,2024-10-08 16:49:58
76,1089,6,5,1,12,18,F,2024,First Term,2024-10-08 16:49:58
77,1089,7,4,3,25,32,F,2024,First Term,2024-10-08 16:49:58
78,1089,8,15,15,12,42,D,2024,First Term,2024-10-08 16:49:58
79,1089,9,3,3,6,12,F,2024,First Term,2024-10-08 16:49:58
80,1089,10,14,10,31,55,C,2024,First Term,2024-10-08 16:49:58
81,1072,1,5,4,0,9,F,2024,First Term,2024-10-08 16:49:58
82,1072,2,12,10,25,47,D,2024,First Term,2024-10-08 16:49:58
83,1072,3,5,0,14,19,F,2024,First Term,2024-10-08 16:49:58
84,1072,4,2,2,31,35,F,2024,First Term,2024-10-08 16:49:58
85,1072,5,10,10,55,75,A,2024,First Term,2024-10-08 16:49:58
86,1072,6,2,5,35,42,D,2024,First Term,2024-10-08 16:49:58
87,1072,7,13,10,68,91,A,2024,First Term,2024-10-08 16:49:58
88,1072,8,2,1,18,21,F,2024,First Term,2024-10-08 16:49:58
89,1072,9,15,10,41,66,B,2024,First Term,2024-10-08 16:49:58
90,1072,10,5,0,19,24,F,2024,First Term,2024-10-08 16:49:58
91,1318,11,0,5,9,14,F,2024,First Term,2024-10-08 16:49:58
92,1318,12,3,2,9,14,F,2024,First Term,2024-10-08 16:49:58
93,1318,13,5,2,20,27,F,2024,First Term,2024-10-08 16:49:58
94,1318,14,10,15,69,94,A,2024,First Term,2024-10-08 16:49:58
95,1318,15,0,5,16,21,F,2024,First Term,2024-10-08 16:49:58
96,1318,16,2,3,33,38,F,2024,First Term,2024-10-08 16:49:58
97,1318,17,5,5,2,12,F,2024,First Term,2024-10-08 16:49:58
98,1318,18,4,5,5,14,F,2024,First Term,2024-10-08 16:49:58
99,1318,19,5,2,1,8,F,2024,First Term,2024-10-08 16:49:58
100,1318,20,5,5,9,19,F,2024,First Term,2024-10-08 16:49:58
101,1446,11,1,1,15,17,F,2024,First Term,2024-10-08 16:49:58
102,1446,12,0,2,27,29,F,2024,First Term,2024-10-08 16:49:58
103,1446,13,2,3,13,18,F,2024,First Term,2024-10-08 16:49:58
104,1446,14,15,13,70,98,A,2024,First Term,2024-10-08 16:49:58
105,1446,15,5,4,40,49,D,2024,First Term,2024-10-08 16:49:58
106,1446,16,2,1,30,33,F,2024,First Term,2024-10-08 16:49:58
107,1446,17,5,0,21,26,F,2024,First Term,2024-10-08 16:49:58
108,1446,18,2,3,20,25,F,2024,First Term,2024-10-08 16:49:58
109,1446,19,4,5,19,28,F,2024,First Term,2024-10-08 16:49:58
110,1446,20,1,0,6,7,F,2024,First Term,2024-10-08 16:49:58
111,1391,11,15,10,29,54,C,2024,First Term,2024-10-08 16:49:58
112,1391,12,5,3,37,45,D,2024,First Term,2024-10-08 16:49:58
113,1391,13,2,4,1,7,F,2024,First Term,2024-10-08 16:49:58
114,1391,14,0,0,39,39,F,2024,First Term,2024-10-08 16:49:58
115,1391,15,15,13,37,65,B,2024,First Term,2024-10-08 16:49:58
116,1391,16,3,1,25,29,F,2024,First Term,2024-10-08 16:49:58
117,1391,17,4,3,38,45,D,2024,First Term,2024-10-08 16:49:58
118,1391,18,3,2,27,32,F,2024,First Term,2024-10-08 16:49:58
119,1391,19,2,0,17,19,F,2024,First Term,2024-10-08 16:49:58
120,1391,20,1,1,40,42,D,2024,First Term,2024-10-08 16:49:58
121,1060,1,1,2,35,38,F,2024,First Term,2024-10-08 16:49:58
122,1060,2,1,0,34,35,F,2024,First Term,2024-10-08 16:49:58
123,1060,3,2,2,35,39,F,2024,First Term,2024-10-08 16:49:58
124,1060,4,11,11,29,51,C,2024,First Term,2024-10-08 16:49:58
125,1060,5,13,14,33,60,B,2024,First Term,2024-10-08 16:49:58
126,1060,6,5,0,15,20,F,2024,First Term,2024-10-08 16:49:58
127,1060,7,0,2,38,40,D,2024,First Term,2024-10-08 16:49:58
128,1060,8,15,12,57,84,A,2024,First Term,2024-10-08 16:49:58
129,1060,9,3,5,3,11,F,2024,First Term,2024-10-08 16:49:58
130,1060,10,3,2,34,39,F,2024,First Term,2024-10-08 16:49:58
131,1568,11,3,0,10,13,F,2024,First Term,2024-10-08 16:49:58
132,1568,12,1,4,1,6,F,2024,First Term,2024-10-08 16:49:58
133,1568,13,13,14,45,72,A,2024,First Term,2024-10-08 16:49:58
134,1568,14,1,5,23,29,F,2024,First Term,2024-10-08 16:49:58
135,1568,15,5,2,8,15,F,2024,First Term,2024-10-08 16:49:58
136,1568,16,2,4,7,13,F,2024,First Term,2024-10-08 16:49:58
137,1568,17,2,2,27,31,F,2024,First Term,2024-10-08 16:49:58
138,1568,18,2,0,35,37,F,2024,First Term,2024-10-08 16:49:58
139,1568,19,0,5,40,45,D,2024,First Term,2024-10-08 16:49:58
140,1568,20,5,0,34,39,F,2024,First Term,2024-10-08 16:49:58
141,1277,1,4,5,19,28,F,2024,First Term,2024-10-08 16:49:58
142,1277,2,1,4,3,8,F,2024,First Term,2024-10-08 16:49:58
143,1277,3,5,5,0,10,F,2024,First Term,2024-10-08 16:49:58
144,1277,4,2,3,28,33,F,2024,First Term,2024-10-08 16:49:58
145,1277,5,2,4,22,28,F,2024,First Term,2024-10-08 16:49:58
146,1277,6,13,12,36,61,B,2024,First Term,2024-10-08 16:49:58
147,1277,7,13,13,37,63,B,2024,First Term,2024-10-08 16:49:58
148,1277,8,3,3,31,37,F,2024,First Term,2024-10-08 16:49:58
149,1277,9,5,2,24,31,F,2024,First Term,2024-10-08 16:49:58
150,1277,10,11,14,70,95,A,2024,First Term,2024-10-08 16:49:58
151,1563,11,10,11,22,43,D,2024,First Term,2024-10-08 16:49:58
152,1563,12,11,14,41,66,B,2024,First Term,2024-10-08 16:49:58
153,1563,13,11,14,62,87,A,2024,First Term,2024-10-08 16:49:58
154,1563,14,10,12,63,85,A,2024,First Term,2024-10-08 16:49:58
155,1563,15,5,2,29,36,F,2024,First Term,2024-10-08 16:49:58
156,1563,16,3,5,7,15,F,2024,First Term,2024-10-08 16:49:58
157,1563,17,4,2,4,10,F,2024,First Term,2024-10-08 16:49:58
158,1563,18,11,11,74,96,A,2024,First Term,2024-10-08 16:49:58
159,1563,19,13,11,40,64,B,2024,First Term,2024-10-08 16:49:58
160,1563,20,5,1,15,21,F,2024,First Term,2024-10-08 16:49:58
161,1265,1,1,0,8,9,F,2024,First Term,2024-10-08 16:49:58
162,1265,2,4,2,15,21,F,2024,First Term,2024-10-08 16:49:58
163,1265,3,4,5,0,9,F,2024,First Term,2024-10-08 16:49:58
164,1265,4,15,14,26,55,C,2024,First Term,2024-10-08 16:49:58
165,1265,5,2,2,28,32,F,2024,First Term,2024-10-08 16:49:58
166,1265,6,2,1,21,24,F,2024,First Term,2024-10-08 16:49:58
167,1265,7,1,1,21,23,F,2024,First Term,2024-10-08 16:49:58
168,1265,8,11,10,48,69,B,2024,First Term,2024-10-08 16:49:58
169,1265,9,1,4,27,32,F,2024,First Term,2024-10-08 16:49:58
170,1265,10,11,12,32,55,C,2024,First Term,2024-10-08 16:49:58
171,1308,11,5,3,39,47,D,2024,First Term,2024-10-08 16:49:58
172,1308,12,4,5,39,48,D,2024,First Term,2024-10-08 16:49:58
173,1308,13,13,13,40,66,B,2024,First Term,2024-10-08 16:49:58
174,1308,14,4,0,17,21,F,2024,First Term,2024-10-08 16:49:58
175,1308,15,10,12,75,97,A,2024,First Term,2024-10-08 16:49:58
176,1308,16,0,4,35,39,F,2024,First Term,2024-10-08 16:49:58
177,1308,17,5,4,16,25,F,2024,First Term,2024-10-08 16:49:58
178,1308,18,10,11,27,48,D,2024,First Term,2024-10-08 16:49:58
179,1308,19,2,3,28,33,F,2024,First Term,2024-10-08 16:49:58
180,1308,20,4,0,25,29,F,2024,First Term,2024-10-08 16:49:58
181,1143,1,5,5,28,38,F,2024,First Term,2024-10-08 16:49:58
182,1143,2,15,10,64,89,A,2024,First Term,2024-10-08 16:49:58
183,1143,3,3,1,13,17,F,2024,First Term,2024-10-08 16:49:58
184,1143,4,14,15,47,76,A,2024,First Term,2024-10-08 16:49:58
185,1143,5,4,3,17,24,F,2024,First Term,2024-10-08 16:49:58
186,1143,6,2,2,29,33,F,2024,First Term,2024-10-08 16:49:58
187,1143,7,4,4,10,18,F,2024,First Term,2024-10-08 16:49:58
188,1143,8,10,10,48,68,B,2024,First Term,2024-10-08 16:49:58
189,1143,9,14,14,72,100,A,2024,First Term,2024-10-08 16:49:58
190,1143,10,1,0,16,17,F,2024,First Term,2024-10-08 16:49:58
191,1505,11,5,4,22,31,F,2024,First Term,2024-10-08 16:49:58
192,1505,12,4,2,1,7,F,2024,First Term,2024-10-08 16:49:58
193,1505,13,2,2,23,27,F,2024,First Term,2024-10-08 16:49:58
194,1505,14,2,5,20,27,F,2024,First Term,2024-10-08 16:49:58
195,1505,15,5,0,20,25,F,2024,First Term,2024-10-08 16:49:58
196,1505,16,1,3,32,36,F,2024,First Term,2024-10-08 16:49:58
197,1505,17,5,5,17,27,F,2024,First Term,2024-10-08 16:49:58
198,1505,18,3,3,14,20,F,2024,First Term,2024-10-08 16:49:58
199,1505,19,4,0,20,24,F,2024,First Term,2024-10-08 16:49:58
200,1505,20,10,11,66,87,A,2024,First Term,2024-10-08 16:49:58
201,1516,11,0,3,33,36,F,2024,First Term,2024-10-08 16:49:58
202,1516,12,5,0,16,21,F,2024,First Term,2024-10-08 16:49:58
203,1516,13,2,1,38,41,D,2024,First Term,2024-10-08 16:49:58
204,1516,14,1,4,34,39,F,2024,First Term,2024-10-08 16:49:58
205,1516,15,4,0,34,38,F,2024,First Term,2024-10-08 16:49:58
206,1516,16,1,5,9,15,F,2024,First Term,2024-10-08 16:49:58
207,1516,17,5,5,16,26,F,2024,First Term,2024-10-08 16:49:58
208,1516,18,15,14,62,91,A,2024,First Term,2024-10-08 16:49:58
209,1516,19,3,0,39,42,D,2024,First Term,2024-10-08 16:49:58
210,1516,20,15,12,37,64,B,2024,First Term,2024-10-08 16:49:58
211,1070,1,1,3,1,5,F,2024,First Term,2024-10-08 16:49:58
212,1070,2,1,4,38,43,D,2024,First Term,2024-10-08 16:49:58
213,1070,3,0,3,38,41,D,2024,First Term,2024-10-08 16:49:58
214,1070,4,13,13,34,60,B,2024,First Term,2024-10-08 16:49:58
215,1070,5,13,14,69,96,A,2024,First Term,2024-10-08 16:49:58
216,1070,6,0,3,11,14,F,2024,First Term,2024-10-08 16:49:58
217,1070,7,5,3,6,14,F,2024,First Term,2024-10-08 16:49:58
218,1070,8,15,11,35,61,B,2024,First Term,2024-10-08 16:49:58
219,1070,9,1,3,13,17,F,2024,First Term,2024-10-08 16:49:58
220,1070,10,11,13,65,89,A,2024,First Term,2024-10-08 16:49:58
221,1023,1,4,4,24,32,F,2024,First Term,2024-10-08 16:49:58
222,1023,2,0,0,12,12,F,2024,First Term,2024-10-08 16:49:58
223,1023,3,2,2,24,28,F,2024,First Term,2024-10-08 16:49:58
224,1023,4,10,12,62,84,A,2024,First Term,2024-10-08 16:49:58
225,1023,5,10,10,37,57,C,2024,First Term,2024-10-08 16:49:58
226,1023,6,0,0,27,27,F,2024,First Term,2024-10-08 16:49:58
227,1023,7,12,12,18,42,D,2024,First Term,2024-10-08 16:49:58
228,1023,8,2,5,8,15,F,2024,First Term,2024-10-08 16:49:58
229,1023,9,12,10,44,66,B,2024,First Term,2024-10-08 16:49:58
230,1023,10,4,3,3,10,F,2024,First Term,2024-10-08 16:49:58
231,1130,1,1,4,17,22,F,2024,First Term,2024-10-08 16:49:58
232,1130,2,2,3,23,28,F,2024,First Term,2024-10-08 16:49:58
233,1130,3,12,13,68,93,A,2024,First Term,2024-10-08 16:49:58
234,1130,4,14,15,26,55,C,2024,First Term,2024-10-08 16:49:58
235,1130,5,12,10,50,72,A,2024,First Term,2024-10-08 16:49:58
236,1130,6,2,2,7,11,F,2024,First Term,2024-10-08 16:49:58
237,1130,7,3,1,29,33,F,2024,First Term,2024-10-08 16:49:58
238,1130,8,3,0,31,34,F,2024,First Term,2024-10-08 16:49:58
239,1130,9,4,0,37,41,D,2024,First Term,2024-10-08 16:49:58
240,1130,10,15,14,19,48,D,2024,First Term,2024-10-08 16:49:58
241,1270,1,0,3,30,33,F,2024,First Term,2024-10-08 16:49:58
242,1270,2,3,5,36,44,D,2024,First Term,2024-10-08 16:49:58
243,1270,3,11,12,63,86,A,2024,First Term,2024-10-08 16:49:58
244,1270,4,2,3,30,35,F,2024,First Term,2024-10-08 16:49:58
245,1270,5,2,5,35,42,D,2024,First Term,2024-10-08 16:49:58
246,1270,6,3,4,13,20,F,2024,First Term,2024-10-08 16:49:58
247,1270,7,5,1,27,33,F,2024,First Term,2024-10-08 16:49:58
248,1270,8,11,11,66,88,A,2024,First Term,2024-10-08 16:49:58
249,1270,9,0,5,38,43,D,2024,First Term,2024-10-08 16:49:58
250,1270,10,3,0,17,20,F,2024,First Term,2024-10-08 16:49:58
251,1434,11,11,14,36,61,B,2024,First Term,2024-10-08 16:49:58
252,1434,12,0,5,5,10,F,2024,First Term,2024-10-08 16:49:58
253,1434,13,0,3,10,13,F,2024,First Term,2024-10-08 16:49:58
254,1434,14,0,4,36,40,D,2024,First Term,2024-10-08 16:49:58
255,1434,15,13,10,68,91,A,2024,First Term,2024-10-08 16:49:58
256,1434,16,4,0,29,33,F,2024,First Term,2024-10-08 16:49:58
257,1434,17,3,2,15,20,F,2024,First Term,2024-10-08 16:49:58
258,1434,18,4,5,9,18,F,2024,First Term,2024-10-08 16:49:58
259,1434,19,4,0,21,25,F,2024,First Term,2024-10-08 16:49:58
260,1434,20,1,3,33,37,F,2024,First Term,2024-10-08 16:49:58
261,1005,1,3,1,28,32,F,2024,First Term,2024-10-08 16:49:58
262,1005,2,0,0,24,24,F,2024,First Term,2024-10-08 16:49:58
263,1005,3,5,1,35,41,D,2024,First Term,2024-10-08 16:49:58
264,1005,4,10,11,73,94,A,2024,First Term,2024-10-08 16:49:58
265,1005,5,1,1,32,34,F,2024,First Term,2024-10-08 16:49:58
266,1005,6,3,3,6,12,F,2024,First Term,2024-10-08 16:49:58
267,1005,7,14,13,55,82,A,2024,First Term,2024-10-08 16:49:58
268,1005,8,15,10,70,95,A,2024,First Term,2024-10-08 16:49:58
269,1005,9,5,5,29,39,F,2024,First Term,2024-10-08 16:49:58
270,1005,10,5,5,21,31,F,2024,First Term,2024-10-08 16:49:58
271,1531,11,3,4,8,15,F,2024,First Term,2024-10-08 16:49:58
272,1531,12,1,5,16,22,F,2024,First Term,2024-10-08 16:49:58
273,1531,13,3,4,0,7,F,2024,First Term,2024-10-08 16:49:58
274,1531,14,1,5,3,9,F,2024,First Term,2024-10-08 16:49:58
275,1531,15,0,0,4,4,F,2024,First Term,2024-10-08 16:49:58
276,1531,16,12,13,29,54,C,2024,First Term,2024-10-08 16:49:58
277,1531,17,0,5,35,40,D,2024,First Term,2024-10-08 16:49:58
278,1531,18,5,5,4,14,F,2024,First Term,2024-10-08 16:49:58
279,1531,19,4,3,19,26,F,2024,First Term,2024-10-08 16:49:58
280,1531,20,3,1,11,15,F,2024,First Term,2024-10-08 16:49:58
281,1067,1,3,3,30,36,F,2024,First Term,2024-10-08 16:49:58
282,1067,2,0,3,24,27,F,2024,First Term,2024-10-08 16:49:58
283,1067,3,4,2,14,20,F,2024,First Term,2024-10-08 16:49:58
284,1067,4,12,13,37,62,B,2024,First Term,2024-10-08 16:49:58
285,1067,5,3,0,5,8,F,2024,First Term,2024-10-08 16:49:58
286,1067,6,13,12,52,77,A,2024,First Term,2024-10-08 16:49:58
287,1067,7,14,14,55,83,A,2024,First Term,2024-10-08 16:49:58
288,1067,8,13,12,64,89,A,2024,First Term,2024-10-08 16:49:58
289,1067,9,3,5,4,12,F,2024,First Term,2024-10-08 16:49:58
290,1067,10,4,5,29,38,F,2024,First Term,2024-10-08 16:49:58
291,1392,11,4,5,7,16,F,2024,First Term,2024-10-08 16:49:58
292,1392,12,3,0,1,4,F,2024,First Term,2024-10-08 16:49:58
293,1392,13,1,1,32,34,F,2024,First Term,2024-10-08 16:49:58
294,1392,14,10,14,70,94,A,2024,First Term,2024-10-08 16:49:58
295,1392,15,4,1,36,41,D,2024,First Term,2024-10-08 16:49:58
296,1392,16,0,3,39,42,D,2024,First Term,2024-10-08 16:49:58
297,1392,17,1,0,28,29,F,2024,First Term,2024-10-08 16:49:58
298,1392,18,1,5,1,7,F,2024,First Term,2024-10-08 16:49:58
299,1392,19,0,0,4,4,F,2024,First Term,2024-10-08 16:49:58
300,1392,20,2,0,19,21,F,2024,First Term,2024-10-08 16:49:58
301,1102,1,4,0,15,19,F,2024,First Term,2024-10-08 16:49:58
302,1102,2,5,5,14,24,F,2024,First Term,2024-10-08 16:49:58
303,1102,3,4,0,28,32,F,2024,First Term,2024-10-08 16:49:58
304,1102,4,5,0,25,30,F,2024,First Term,2024-10-08 16:49:58
305,1102,5,2,3,12,17,F,2024,First Term,2024-10-08 16:49:58
306,1102,6,1,1,20,22,F,2024,First Term,2024-10-08 16:49:58
307,1102,7,12,12,28,52,C,2024,First Term,2024-10-08 16:49:58
308,1102,8,15,11,74,100,A,2024,First Term,2024-10-08 16:49:58
309,1102,9,4,5,35,44,D,2024,First Term,2024-10-08 16:49:58
310,1102,10,0,1,0,1,F,2024,First Term,2024-10-08 16:49:58
311,1144,1,5,4,10,19,F,2024,First Term,2024-10-08 16:49:58
312,1144,2,15,15,38,68,B,2024,First Term,2024-10-08 16:49:58
313,1144,3,3,2,40,45,D,2024,First Term,2024-10-08 16:49:58
314,1144,4,2,0,39,41,D,2024,First Term,2024-10-08 16:49:58
315,1144,5,0,5,20,25,F,2024,First Term,2024-10-08 16:49:58
316,1144,6,0,1,20,21,F,2024,First Term,2024-10-08 16:49:58
317,1144,7,4,3,5,12,F,2024,First Term,2024-10-08 16:49:58
318,1144,8,10,14,74,98,A,2024,First Term,2024-10-08 16:49:58
319,1144,9,10,14,72,96,A,2024,First Term,2024-10-08 16:49:58
320,1144,10,12,11,41,64,B,2024,First Term,2024-10-08 16:49:58
321,1226,1,11,11,73,95,A,2024,First Term,2024-10-08 16:49:58
322,1226,2,3,4,15,22,F,2024,First Term,2024-10-08 16:49:58
323,1226,3,2,0,26,28,F,2024,First Term,2024-10-08 16:49:58
324,1226,4,0,2,36,38,F,2024,First Term,2024-10-08 16:49:58
325,1226,5,0,2,20,22,F,2024,First Term,2024-10-08 16:49:58
326,1226,6,5,5,21,31,F,2024,First Term,2024-10-08 16:49:58
327,1226,7,2,1,17,20,F,2024,First Term,2024-10-08 16:49:58
328,1226,8,5,1,9,15,F,2024,First Term,2024-10-08 16:49:58
329,1226,9,1,0,40,41,D,2024,First Term,2024-10-08 16:49:58
330,1226,10,4,0,35,39,F,2024,First Term,2024-10-08 16:49:58
331,1264,1,1,4,12,17,F,2024,First Term,2024-10-08 16:49:58
332,1264,2,15,11,70,96,A,2024,First Term,2024-10-08 16:49:58
333,1264,3,3,1,20,24,F,2024,First Term,2024-10-08 16:49:58
334,1264,4,0,5,5,10,F,2024,First Term,2024-10-08 16:49:58
335,1264,5,0,4,0,4,F,2024,First Term,2024-10-08 16:49:58
336,1264,6,11,10,47,68,B,2024,First Term,2024-10-08 16:49:58
337,1264,7,0,3,31,34,F,2024,First Term,2024-10-08 16:49:58
338,1264,8,5,4,24,33,F,2024,First Term,2024-10-08 16:49:58
339,1264,9,5,0,23,28,F,2024,First Term,2024-10-08 16:49:58
340,1264,10,0,2,28,30,F,2024,First Term,2024-10-08 16:49:58
341,1125,1,4,4,40,48,D,2024,First Term,2024-10-08 16:49:58
342,1125,2,4,4,4,12,F,2024,First Term,2024-10-08 16:49:58
343,1125,3,1,0,34,35,F,2024,First Term,2024-10-08 16:49:58
344,1125,4,5,0,13,18,F,2024,First Term,2024-10-08 16:49:58
345,1125,5,1,2,27,30,F,2024,First Term,2024-10-08 16:49:58
346,1125,6,0,3,16,19,F,2024,First Term,2024-10-08 16:49:58
347,1125,7,5,5,25,35,F,2024,First Term,2024-10-08 16:49:58
348,1125,8,11,12,47,70,A,2024,First Term,2024-10-08 16:49:58
349,1125,9,4,4,23,31,F,2024,First Term,2024-10-08 16:49:58
350,1125,10,14,11,47,72,A,2024,First Term,2024-10-08 16:49:58
351,1232,1,3,1,36,40,D,2024,First Term,2024-10-08 16:49:58
352,1232,2,5,3,0,8,F,2024,First Term,2024-10-08 16:49:58
353,1232,3,0,3,18,21,F,2024,First Term,2024-10-08 16:49:58
354,1232,4,15,11,72,98,A,2024,First Term,2024-10-08 16:49:58
355,1232,5,0,0,11,11,F,2024,First Term,2024-10-08 16:49:58
356,1232,6,0,3,1,4,F,2024,First Term,2024-10-08 16:49:58
357,1232,7,15,13,50,78,A,2024,First Term,2024-10-08 16:49:58
358,1232,8,15,14,41,70,A,2024,First Term,2024-10-08 16:49:58
359,1232,9,3,3,18,24,F,2024,First Term,2024-10-08 16:49:58
360,1232,10,13,11,48,72,A,2024,First Term,2024-10-08 16:49:58
361,1471,11,5,5,32,42,D,2024,First Term,2024-10-08 16:49:58
362,1471,12,1,3,37,41,D,2024,First Term,2024-10-08 16:49:58
363,1471,13,5,5,22,32,F,2024,First Term,2024-10-08 16:49:58
364,1471,14,10,13,48,71,A,2024,First Term,2024-10-08 16:49:58
365,1471,15,11,13,51,75,A,2024,First Term,2024-10-08 16:49:58
366,1471,16,0,4,14,18,F,2024,First Term,2024-10-08 16:49:58
367,1471,17,4,0,30,34,F,2024,First Term,2024-10-08 16:49:58
368,1471,18,12,15,72,99,A,2024,First Term,2024-10-08 16:49:58
369,1471,19,0,4,35,39,F,2024,First Term,2024-10-08 16:49:58
370,1471,20,1,1,32,34,F,2024,First Term,2024-10-08 16:49:58
371,1062,1,1,5,11,17,F,2024,First Term,2024-10-08 16:49:58
372,1062,2,1,3,11,15,F,2024,First Term,2024-10-08 16:49:58
373,1062,3,4,0,0,4,F,2024,First Term,2024-10-08 16:49:58
374,1062,4,5,5,12,22,F,2024,First Term,2024-10-08 16:49:58
375,1062,5,15,13,36,64,B,2024,First Term,2024-10-08 16:49:58
376,1062,6,2,1,24,27,F,2024,First Term,2024-10-08 16:49:58
